,CocktailName,FoodName,RowNum
132,LetsPumpkin,pastry,47
133,MaiTai,kuai,1
134,MaiTai,shrimp,3
135,MaiTai,sushi,6
136,MaiTai,syrup,9
137,MaiTai,tapas,3
138,Manhattan,chilaquiles,1
139,Manhattan,quesadilla,1
140,Manhattan,superfood,1
141,Margarita,pizza,1
142,Margarita,produce,3
143,Mimosa,chocolate,3
144,Mimosa,shrimp,1
145,MintJulep,bread,3
146,MintJulep,chocolate,5
147,Mojito,falafel,3
148,Mojito,pizza,4
149,MoscowMule,bao,2
150,MoscowMule,feijoada,3
151,NegroniSbagliato,adidas,3
152,NegroniSbagliato,chocolate,4
153,NegroniSbagliato,meat,5
154,NegroniSbagliato,pasta,3
155,NegroniSbagliato,pizza,23
156,NegroniSbagliato,roll,3
158,NegroniSbagliato,sushi,3
159,NewYorkSour,pasta,1
160,NewYorkSour,pizza,4
161,NewYorkSour,salad,3
162,OaxacanOldFashioned,pasta,2
163,OaxacanOldFashioned,salad,2
164,OaxacanOldFashioned,sushi,2
165,OaxacanOldFashioned,tapas,3
166,OldFashioned,chocolate,4
167,OldFashioned,salad,3
168,Paloma,carnitas,7
169,Paloma,guacamole,10
170,Paloma,nachos,3
171,Paloma,quesadilla,3
172,PinaColada,chocolate,1
173,PinaColada,tapas,2
174,RamosGinFizz,chocolate,4
175,RedSnapper,curry,19
176,RedSnapper,naruto,1
177,RedSnapper,paella,4
178,RedSnapper,risotto,9
180,RedSnapper,roti,2
182,RedSnapper,salad,4
183,RedSnapper,scampi,10
184,RedSnapper,shrimp,33
185,RedSnapper,stew,10
186,RedSnapper,sushi,12
187,ReverseManhattan,tapas,2
188,Scofflaw,cookie,3
189,Scofflaw,grits,35
190,Scofflaw,pasta,3
191,Scofflaw,pizza,3
192,Scofflaw,syrup,5
193,Screwdriver,chocolate,6
194,Screwdriver,grinder,3
195,Screwdriver,marmalade,3
196,Screwdriver,nut,3
197,Screwdriver,pasta,3
198,Screwdriver,snag,3
199,SexontheBeach,crackling,2
200,SpanishGinTonic,chili,3
201,SpanishGinTonic,marmalade,4
202,SpanishGinTonic,paella,16
203,SpanishGinTonic,tapas,31
204,StrawberryBasilMargarita,chocolate,3
205,StrawberryBasilMargarita,guacamole,28
206,StrawberryBasilMargarita,pizza,2
207,StrawberryBasilMargarita,salad,3
208,StrawberryBasilMargarita,syrup,6
209,StrawberryDaiquiri,chocolate,12
210,StrawberryDaiquiri,coleslaw,7
211,StrawberryDaiquiri,hummus,4
212,StrawberryDaiquiri,nachos,3
213,StrawberryDaiquiri,pasta,1
214,StrawberryDaiquiri,pizza,3
215,StrawberryDaiquiri,shrimp,4
216,SufferingBastard,pufferfish,3
217,TequilaManhattan,pizza,4
218,TequilaManhattan,sauce,3
219,TequilaManhattan,tapas,3
220,TomCollins,kimchi,4
221,TomCollins,tapas,3
222,Vesper,bread,1
223,VodkaSoda,nachos,4
224,VodkaSoda,pizza,8
225,WatermelonMargarita,carnitas,4
226,WatermelonMargarita,guacamole,1
227,WatermelonMargarita,nachos,10
228,WatermelonMargarita,quesadilla,3
229,WatermelonMargarita,salad,4
230,WatermelonMargarita,shrimp,3
231,WatermelonMargarita,tapas,3
232,WhiskeySmash,chimichanga,3
233,WhiskeySmash,chocolate,3
234,WhiskeySmash,meat,3
235,WhiskeySmash,poutine,3
236,WhiskeySmash,syrup,3
237,WhiskeySmash,tofu,3
238,WhiskeySour,jam,3
239,WhiskeySour,marmalade,5
240,WhiskeySour,pasta,3
241,WhiskeySour,pizza,3
242,WhiskeySour,tart,6
243,WinterDaiquiri,pizza,2
